"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
3170,669203,"Burnes, Corbin",5868,54,0.224,0.108,0.302,0.332,0.28,0.284,0.225,167,747,87.5,8.1,2686,95.1,95.59,470,1582,1588,0.5,6.38,111,152,118,147,297,319,296
1986,506433,"Darvish, Yu",5740,34.6,0.325,0.213,0.347,0.538,0.399,0.366,0.291,131,403,88.1,14.5,2765,86.6,86.99,250,974,1012,0.4000000000000057,6.39,114,159,121,148,296,320,305
1800,543766,"Shaw, Bryan",2336,77.1,0.244,0.127,0.275,0.371,0.315,0.334,0.261,96,394,90.1,7.1,2407,92.9,92.15,189,889,911,-0.8000000000000114,5.77,110,153,118,150,293,317,293
1772,518516,"Bumgarner, Madison",5009,35.4,0.289,0.206,0.318,0.495,0.356,0.349,0.28,133,461,89.1,16.8,2344,86.8,87.17,185,998,774,0.4000000000000057,6.55,108,152,119,147,300,324,295
1665,615698,"Quantrill, Cal",5277,31.6,0.223,0.129,0.253,0.351,0.274,0.31,0.25,83,373,88.9,14,2227,88.4,87.3,188,733,932,-1.1000000000000085,6.32,110,154,117,150,291,315,292
1540,623167,"Flexen, Chris",5015,30.7,0.29,0.133,0.315,0.424,0.325,0.329,0.283,124,427,89,8.5,2325,88.3,87.92,161,836,704,-0.3999999999999915,5.97,110,154,116,147,292,321,296
1461,425794,"Wainwright, Adam",6201,23.6,0.271,0.176,0.279,0.447,0.331,0.342,0.285,97,358,86.8,10.5,2410,84.6,85.25,149,771,690,0.7000000000000028,6.47,113,155,116,148,300,321,300
1455,517008,"Colome, Alex",1905,76.4,0.252,0.146,0.294,0.398,0.291,0.294,0.242,93,369,89,-0.4,2150,90.1,90.02,196,733,722,-0.09999999999999432,6.16,108,153,116,147,301,329,298
1445,489119,"Miley, Wade",3158,45.8,0.276,0.199,0.286,0.475,0.344,0.336,0.272,89,322,84.4,6.8,2278,85.3,85.25,118,659,786,-0.09999999999999432,6.06,107,150,113,145,296,320,286
1409,642232,"Yarbrough, Ryan",3843,36.7,0.322,0.243,0.351,0.564,0.399,0.35,0.277,110,342,84.5,16.9,2107,82,82.34,113,709,700,0.29999999999999716,6.56,103,153,116,148,302,322,290
1299,476595,"Luetge, Lucas",2212,58.7,0.304,0.121,0.353,0.425,0.342,0.319,0.273,95,313,86.9,15.3,2569,88,88.39,164,689,610,0.4000000000000057,6.33,107,153,118,147,298,324,286
1286,677651,"Garcia, Luis",4970,25.9,0.163,0.12,0.229,0.283,0.219,0.238,0.188,53,325,85.1,13.5,2364,85.6,85.64,272,644,642,0,6.18,111,155,119,148,295,324,291
1281,661403,"Clase, Emmanuel",1978,64.8,0.215,0.056,0.272,0.271,0.236,0.259,0.23,69,321,86,-2.3,2611,99.9,99.87,189,715,566,0,6.46,114,151,117,150,291,316,290
1269,445276,"Jansen, Kenley",2077,61.1,0.173,0.083,0.237,0.256,0.246,0.267,0.183,46,266,83.9,22.1,2621,92.4,92.88,199,664,605,0.5,7.01,114,154,116,149,303,320,294
1266,458681,"Lynn, Lance",4630,27.3,0.232,0.135,0.276,0.367,0.281,0.271,0.221,67,289,86.9,16.6,2565,88.8,88.99,171,659,607,0.20000000000000284,6.3,110,153,112,150,298,323,296
1263,527048,"Perez, Martin",4839,26.1,0.272,0.125,0.34,0.398,0.325,0.332,0.267,89,327,88.4,12.1,2219,89.7,89.27,93,584,679,-0.4000000000000057,5.87,109,153,117,147,299,324,293
1248,542881,"Anderson, Tyler",5178,24.1,0.234,0.148,0.276,0.382,0.278,0.273,0.238,92,393,82.6,15.1,2458,85.4,85.36,161,781,467,0,6.06,107,153,117,147,298,318,290
1221,607200,"Fedde, Erick",4830,25.3,0.233,0.218,0.251,0.451,0.311,0.33,0.24,60,257,88.2,19.7,2091,89.3,90.07,125,616,605,0.7999999999999972,6.62,112,156,124,145,298,321,300
1216,453343,"Melancon, Mark",1939,62.7,0.27,0.131,0.288,0.401,0.33,0.355,0.287,76,282,86.6,5.8,2260,91.5,91.36,86,557,659,-0.09999999999999432,6.3,113,151,121,146,298,321,302
1203,446372,"Kluber, Corey",3792,31.7,0.297,0.13,0.32,0.428,0.333,0.317,0.268,80,269,84.6,20,2460,86.7,87.11,177,689,514,0.3999999999999915,6.39,107,157,113,148,299,324,295
1112,605507,"Thompson, Zach",3274,34,0.247,0.183,0.259,0.43,0.316,0.326,0.264,62,251,87.2,14.5,2566,86.9,86.93,126,560,552,0,6.22,107,151,115,148,300,320,294
1094,641482,"Cortes, Nestor",3989,27.4,0.216,0.175,0.239,0.392,0.298,0.305,0.24,58,268,86.8,17.3,2364,86.4,85.84,147,616,478,-0.6000000000000085,5.76,108,159,120,150,300,326,286
1086,605397,"Musgrove, Joe",5772,18.8,0.263,0.234,0.242,0.498,0.342,0.343,0.278,54,205,88,20,2607,90.3,90.06,87,474,612,-0.20000000000000284,6,114,159,123,147,297,321,305
1035,641302,"Alexander, Tyler",3231,32,0.252,0.205,0.268,0.457,0.321,0.311,0.245,64,254,87,22.5,2341,85.9,86.16,98,506,529,0.29999999999999716,6.23,106,153,117,146,299,327,295
1029,650644,"Civale, Aaron",3497,29.4,0.24,0.169,0.259,0.409,0.298,0.309,0.255,58,242,87.3,17,2557,87,85.82,113,539,490,-1.2000000000000028,5.75,114,156,117,150,293,319,295
1023,502043,"Gibson, Kyle",5620,18.2,0.237,0.14,0.253,0.377,0.294,0.318,0.254,49,207,86,16.5,2362,89.4,90.03,107,484,539,0.5999999999999943,6.66,112,153,117,146,295,326,295
993,579328,"Kikuchi, Yusei",4405,22.5,0.277,0.214,0.269,0.491,0.397,0.437,0.315,62,224,92.6,2.1,2297,91.3,92.15,99,492,501,0.7999999999999972,6.67,109,153,114,147,300,323,291
929,605135,"Bassitt, Chris",5267,17.6,0.254,0.183,0.283,0.437,0.32,0.328,0.251,50,197,87,18.2,2243,88.9,89.17,125,489,440,0.29999999999999716,6.27,115,153,117,151,296,327,303
922,445926,"Chavez, Jesse",1730,53.3,0.212,0.138,0.295,0.349,0.282,0.285,0.21,40,189,88.7,16.4,2229,89.1,89.23,115,433,489,0.10000000000000853,6.17,112,153,122,148,302,323,297
905,518876,"Kelly, Merrill",5496,16.5,0.216,0.164,0.243,0.379,0.276,0.29,0.234,50,232,85.8,23.1,2331,90.9,90.82,91,477,428,-0.10000000000000853,6.18,112,154,120,150,301,324,299
891,668933,"Ashcraft, Graham",1756,50.7,0.285,0.097,0.298,0.382,0.33,0.324,0.27,59,207,85.6,1.7,2383,97.3,91.06,69,454,437,-6.200000000000003,5.55,114,152,116,148,289,319,291
887,594835,"Gonzales, Marco",5162,17.2,0.307,0.216,0.31,0.523,0.378,0.369,0.29,67,218,84.8,16.4,2063,85.9,86.39,66,480,407,0.5,6.41,106,153,119,145,298,320,287
877,641778,"Lauer, Eric",4632,18.9,0.274,0.206,0.283,0.48,0.361,0.362,0.286,61,223,88.4,17.9,2299,90,87.43,85,458,419,-2.5999999999999943,6.11,107,153,119,146,300,322,296
